Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
2470,156.97,291.97,291.97,192.8816,134.6057
2475,141.48,288.81,600.0,134.6057,152.726
2480,125.93,290.44,290.44,152.726,97.6238
2485,110.32,293.89,600.0,97.6238,118.8521
2490,94.66,291.38,291.38,118.8521,61.3271
2495,78.95,292.57,600.0,61.3271,81.3024
2500,87.16,291.61,291.61,81.3024,52.579
2505,44.03,291.86,600.0,52.579,0.0
2510,29.37,290.08,290.08,0.0,0.0
2515,14.69,290.02,575.84,0.0,0.0
2520,0.0,290.53,290.53,0.0,0.0
2525,0.0,291.47,291.47,0.0,0.0
2530,0.0,289.43,289.43,0.0,0.0
2535,0.0,290.24,290.24,0.0,0.0
2540,0.0,289.38,289.38,0.0,0.0
2545,0.0,290.23,290.23,0.0,0.0
2550,0.0,287.5,287.5,0.0,0.0
2555,0.0,295.21,295.21,0.0,0.0
2560,0.0,288.53,288.53,0.0,0.0
2565,0.0,289.28,289.28,0.0,0.0
2570,0.0,288.36,288.36,0.0,0.0
2575,0.0,291.23,291.23,0.0,0.0
2580,0.0,289.61,289.61,0.0,0.0
2585,0.0,288.07,288.07,0.0,0.0
2590,0.0,291.31,291.31,0.0,0.0
2595,0.0,291.58,291.58,0.0,0.0
2600,0.0,289.87,289.87,0.0,0.0
2605,0.0,288.67,288.67,0.0,0.0
2610,0.0,294.38,294.38,0.0,0.0
2615,0.0,290.68,290.68,0.0,0.0
2620,0.0,287.45,287.45,0.0,0.0
2625,0.0,292.83,292.83,0.0,0.0
2630,0.0,288.29,288.29,0.0,0.0
2635,0.0,295.48,295.48,0.0,0.0
2640,0.0,290.16,290.16,0.0,0.0
2645,0.0,292.03,292.03,0.0,0.0
2650,0.0,285.84,285.84,0.0,0.0
2655,0.0,287.43,287.43,0.0,0.0
2660,0.0,292.67,292.67,0.0,0.0
2665,0.0,290.64,290.64,0.0,0.0
2670,0.0,294.08,294.08,0.0,0.0
2675,0.0,290.97,290.97,0.0,0.0
2680,0.0,290.29,290.29,0.0,0.0
2685,0.0,293.43,293.43,0.0,0.0
2690,0.0,292.02,292.02,0.0,0.0
2695,0.0,289.61,289.61,0.0,0.0
2700,0.0,287.81,287.81,0.0,0.0
2705,0.0,285.26,285.26,0.0,0.0
2710,0.0,289.12,289.12,0.0,0.0
2715,0.0,287.63,287.63,0.0,0.0
2720,0.0,295.2,295.2,0.0,0.0
2725,0.0,288.7,288.7,0.0,0.0
2730,0.0,288.64,288.64,0.0,0.0
2735,0.0,286.96,286.96,0.0,0.0
2740,0.0,289.47,289.47,0.0,0.0
